"Name","Id","Path","StartTime","CPU"
"","0",,,
"AccessibilityUIServer","1047","/System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer","5/18/2026 11:22:54 PM","13.1608375"
"accessoryupdaterd","84484","/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd",,
"accountsd","978","/System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd","5/18/2026 11:22:50 PM","376.0452541"
"adid","83891","/System/Library/PrivateFrameworks/CoreADI.framework/Versions/A/adid",,
"AirDrop","71292","/System/Library/PrivateFrameworks/FinderKit.framework/Versions/A/PlugIns/AirDrop.appex/Contents/MacOS/AirDrop","5/21/2026 6:41:36 AM","74.5704208"
"AirPlayUIAgent","1361","/System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent","5/18/2026 11:39:11 PM","7.9555708"
"AirPlayXPCHelper","593","/usr/libexec/AirPlayXPCHelper",,
"airportd","636","/usr/libexec/airportd",,
"akd","988","/System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd","5/18/2026 11:22:51 PM","73.0140375"
"AMPDeviceDiscoveryAgent","1242","/System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent","5/18/2026 11:38:49 PM","2.5634833"
"amsaccountsd","84194","/System/Library/PrivateFrameworks/AppleMediaServices.framework/Versions/A/Resources/amsaccountsd","6/3/2026 5:00:03 PM","0.7596791"
"amsengagementd","25635","/System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd","5/21/2026 1:47:41 AM","48.1586541"
"analyticsagent","84180","/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent","6/3/2026 5:00:01 PM","0.1374625"
"analyticsd","605","/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd",,
"aned","33173","/usr/libexec/aned",,
"apfsd","618","/usr/libexec/apfsd",,
"appleaccountd","84111","/usr/libexec/appleaccountd","6/3/2026 4:59:52 PM","0.1921875"
"appleeventsd","759","/System/Library/CoreServices/appleeventsd",,
"appleh13camerad","695","/usr/sbin/appleh13camerad",,
"AppleSpell","15821","/System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell","5/21/2026 1:03:08 AM","46.0352791"
"AppPredictionIntentsHelperService","84754","/System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService","6/3/2026 5:01:51 PM","0.5903208"
"apsd","566","/System/Library/PrivateFrameworks/ApplePushService.framework/apsd",,
"AquaAppearanceHelper","62820","/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/AquaAppearanceHelper.app/Contents/MacOS/AquaAppearanceHelper","6/3/2026 3:12:44 PM","0.3370583"
"assessmentagent","84112","/usr/libexec/assessmentagent","6/3/2026 4:59:53 PM","0.0935083"
"AssetCache","84512","/usr/libexec/AssetCache/AssetCache",,
"AssetCacheLocatorService","83897","/System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService","6/3/2026 4:59:20 PM","0.1020666"
"AssetCacheLocatorService","84510","/System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService",,
"AssetCacheTetheratorService","84513","/System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/Versions/A/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService",,
"assistantd","75415","/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd","6/3/2026 4:37:56 PM","2.9823541"
"audioaccessoryd","87167","/System/Library/CoreServices/audioaccessoryd","6/1/2026 3:18:57 AM","25.6527166"
"audioanalyticsd","83972","/usr/libexec/audioanalyticsd",,
"audioclocksyncd","671","/usr/libexec/audioclocksyncd",,
"audiomxd","656","/usr/libexec/audiomxd",,
"authd","654","/System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd",,
"AuthenticationServicesAgent","46224","/System/Volumes/Preboot/Cryptexes/App/usr/libexec/AuthenticationServicesAgent","5/21/2026 4:05:31 AM","14.8345375"
"autofsd","575","/usr/libexec/autofsd",,
"automountd","1243","/usr/libexec/automountd",,
"avconferenced","1222","/usr/libexec/avconferenced","5/18/2026 11:38:48 PM","8.4279916"
"axassetsd","84855","/System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd","6/3/2026 5:02:11 PM","0.9269416"
"backupd","82825","/System/Library/CoreServices/TimeMachine/backupd",,
"BatteriesAvocadoWidgetExtension","1403","/System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension","5/18/2026 11:39:19 PM","0.0664291"
"BiomeAgent","49926","/System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent","5/21/2026 4:26:26 AM","614.02505"
"biomed","84108","/System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed",,
"biometrickitd","84236","/usr/libexec/biometrickitd",,
"bird","84764","/System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird","6/3/2026 5:01:53 PM","0.28155"
"bluetoothd","589","/usr/sbin/bluetoothd",,
"Brave Browser","6138","/Applications/Brave Browser.app/Contents/MacOS/Brave Browser","5/31/2026 2:32:52 AM","6113.1909875"
"Brave Browser Helper","6191","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper","5/31/2026 2:33:01 AM","4023.1636041"
"Brave Browser Helper","6192","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper","5/31/2026 2:33:01 AM","972.7606208"
"Brave Browser Helper","6193","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper","5/31/2026 2:33:01 AM","26.2521083"
"Brave Browser Helper","6453","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper","5/31/2026 2:33:50 AM","34.5870583"
"Brave Browser Helper","6454","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper","5/31/2026 2:33:50 AM","26.69255"
"Brave Browser Helper (Renderer)","1784","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","6/3/2026 12:35:39 AM","73.4964"
"Brave Browser Helper (Renderer)","6202","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:01 AM","660.1263375"
"Brave Browser Helper (Renderer)","6203","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:01 AM","98.1164625"
"Brave Browser Helper (Renderer)","6204","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:01 AM","458.2800541"
"Brave Browser Helper (Renderer)","6239","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:06 AM","89.1612375"
"Brave Browser Helper (Renderer)","6272","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:11 AM","292.26795"
"Brave Browser Helper (Renderer)","6289","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:16 AM","18.3893416"
"Brave Browser Helper (Renderer)","6316","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:20 AM","4457.5118083"
"Brave Browser Helper (Renderer)","6377","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:37 AM","15.0418416"
"Brave Browser Helper (Renderer)","6380","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:38 AM","23.220875"
"Brave Browser Helper (Renderer)","6401","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:41 AM","1598.4947541"
"Brave Browser Helper (Renderer)","6435","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:45 AM","266.2410791"
"Brave Browser Helper (Renderer)","6456","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:50 AM","301.4806666"
"Brave Browser Helper (Renderer)","6479","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:33:53 AM","251.1767833"
"Brave Browser Helper (Renderer)","6596","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:09 AM","3440.0500916"
"Brave Browser Helper (Renderer)","6657","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:26 AM","1245.9547666"
"Brave Browser Helper (Renderer)","6659","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:26 AM","322.5147208"
"Brave Browser Helper (Renderer)","6693","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:34 AM","329.2762291"
"Brave Browser Helper (Renderer)","6694","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:34 AM","68.9931375"
"Brave Browser Helper (Renderer)","6720","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:40 AM","16.4067083"
"Brave Browser Helper (Renderer)","6740","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:42 AM","24.2359916"
"Brave Browser Helper (Renderer)","6747","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:44 AM","101.5661791"
"Brave Browser Helper (Renderer)","6749","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 2:34:44 AM","109.6781791"
"Brave Browser Helper (Renderer)","28715","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 5:11:46 AM","18.4972083"
"Brave Browser Helper (Renderer)","29403","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 5:14:27 AM","14.8855583"
"Brave Browser Helper (Renderer)","37514","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 5:56:54 AM","432.4174791"
"Brave Browser Helper (Renderer)","53749","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","6/1/2026 10:40:37 AM","125.6906875"
"Brave Browser Helper (Renderer)","66633","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","6/2/2026 12:58:24 PM","18.711375"
"Brave Browser Helper (Renderer)","69858","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","5/31/2026 9:44:24 AM","1841.8139916"
"Brave Browser Helper (Renderer)","99933","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)","6/2/2026 12:36:22 AM","1049.7737458"
"BTLEServerAgent","29614","/usr/sbin/BTLEServerAgent","6/3/2026 11:43:07 AM","1.2429041"
"calaccessd","84863","/System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd","6/3/2026 5:02:13 PM","0.4982791"
"CalendarWidgetExtension","1387","/System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension","5/18/2026 11:39:15 PM","0.9177333"
"callservicesd","38387","/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd","6/3/2026 1:32:46 PM","3.6255041"
"cameracaptured","760","/usr/libexec/cameracaptured",,
"CategoriesService","83973","/System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService",,
"cfprefsd","599","/usr/sbin/cfprefsd",,
"cfprefsd","939","/usr/sbin/cfprefsd","5/18/2026 11:22:49 PM","968.6753916"
"cfprefsd","85112","/usr/sbin/cfprefsd",,
"cfprefsd","85113","/usr/sbin/cfprefsd",,
"CharacterPalette","58830","/System/Library/Input Methods/CharacterPalette.app/Contents/MacOS/CharacterPalette","6/1/2026 11:04:13 AM","315.9480291"
"chrome_crashpad_handler","6181","/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/148.1.90.128/Helpers/chrome_crashpad_handler","5/31/2026 2:33:00 AM","0.4137208"
"chronod","1121","/System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod","5/18/2026 11:38:25 PM","97.5133125"
"cloudd","32245","/System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd","6/3/2026 12:59:06 PM","15.3508791"
"cloudd","84485","/System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd",,
"CloudTelemetryService","68373","/System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService","6/3/2026 3:57:36 PM","0.44525"
"CloudTelemetryService","84487","/System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService",,
"CMFSyncAgent","1067","/System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent","5/18/2026 11:38:13 PM","0.9490083"
"com.apple.appkit.xpc.openAndSavePanelService","54821","/System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService","5/31/2026 8:36:14 AM","494.1042833"
"com.apple.AppleUserHIDDrivers","709","/System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers",,
"com.apple.audio.Core-Audio-Driver-Service.helper","650","/System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.Core-Audio-Driver-Service.helper.xpc/Contents/MacOS/com.apple.audio.Core-Audio-Driver-Service.helper",,
"com.apple.cmio.registerassistantservice","594","/System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice",,
"com.apple.cmio.videodriverkithostextension","693","/usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension",,
"com.apple.dock.extra","1276","/System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra","5/18/2026 11:38:54 PM","6.896275"
"com.apple.DriverKit-AppleBCMWLAN","707","/System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN",,
"com.apple.DriverKit-IOUserDockChannelSerial","708","/System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial",,
"com.apple.geod","85104","/System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod","6/3/2026 5:02:59 PM","0.4167791"
"com.apple.geod","85108","/System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod",,
"com.apple.geod","85109","/System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod",,
"com.apple.hiservices-xpcservice","75817","/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice","6/3/2026 4:39:20 PM","0.1295541"
"com.apple.Notes.SpotlightIndexExtension","3472","/System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.Notes.SpotlightIndexExtension","6/1/2026 4:39:28 AM","0.2918916"
"com.apple.Safari.History","83791","/System/Volumes/Preboot/Cryptexes/App/usr/libexec/com.apple.Safari.History","6/3/2026 4:59:01 PM","0.0790333"
"com.apple.Safari.SafeBrowsing.Service","53645","/System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/Versions/A/com.apple.Safari.SafeBrowsing.Service","5/23/2026 7:25:23 AM","8.6868875"
"com.apple.SafariPlatformSupport.Helper","3923","/System/Volumes/Preboot/Cryptexes/OS/System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper","6/1/2026 4:41:04 AM","4.4384083"
"com.apple.SafariPlatformSupport.Helper","6396","/System/Volumes/Preboot/Cryptexes/OS/System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper","5/31/2026 2:33:40 AM","9.1326833"
"com.apple.WebKit.GPU","28147","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU","5/21/2026 2:01:50 AM","688.8140583"
"com.apple.WebKit.Networking","28145","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking","5/21/2026 2:01:50 AM","1890.5560083"
"com.apple.WebKit.WebContent","2737","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/22/2026 3:29:55 PM","258.8114"
"com.apple.WebKit.WebContent","2883","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:56:00 AM","1313.4289"
"com.apple.WebKit.WebContent","2977","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:56:21 AM","30.5446541"
"com.apple.WebKit.WebContent","2980","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:56:21 AM","83.1703791"
"com.apple.WebKit.WebContent","2999","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:56:27 AM","20.9215"
"com.apple.WebKit.WebContent","3262","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:57:38 AM","2212.2758791"
"com.apple.WebKit.WebContent","3364","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:58:00 AM","1125.7337625"
"com.apple.WebKit.WebContent","3394","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/22/2026 3:32:37 PM","26.82005"
"com.apple.WebKit.WebContent","3452","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:58:23 AM","170.6983875"
"com.apple.WebKit.WebContent","3519","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 5:58:39 AM","14.1636041"
"com.apple.WebKit.WebContent","5372","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/22/2026 3:41:48 PM","418.7527208"
"com.apple.WebKit.WebContent","5980","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/22/2026 3:44:27 PM","49.0014958"
"com.apple.WebKit.WebContent","5987","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/22/2026 3:44:28 PM","66.8114"
"com.apple.WebKit.WebContent","10247","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/25/2026 8:23:42 AM","10.452675"
"com.apple.WebKit.WebContent","28135","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/21/2026 2:01:49 AM","222.55535"
"com.apple.WebKit.WebContent","33036","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/21/2026 2:39:49 AM","362.0472833"
"com.apple.WebKit.WebContent","35468","/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent","5/21/2026 2:54:04 AM","211.0703833"
"CommCenter","84157","/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter","6/3/2026 4:59:58 PM","0.3032125"
"commerce","84190","/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce","6/3/2026 5:00:02 PM","0.1181333"
"configd","536","/usr/libexec/configd",,
"contactsd","84391","/System/Library/Frameworks/Contacts.framework/Support/contactsd","6/3/2026 5:00:39 PM","0.5688041"
"containermanagerd","48111","/usr/libexec/containermanagerd","6/3/2026 4:14:15 AM","5.5437916"
"containermanagerd","85118","/usr/libexec/containermanagerd",,
"containermanagerd","85119","/usr/libexec/containermanagerd",,
"contentlinkingd","75783","/System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd","6/3/2026 4:39:11 PM","0.13585"
"ContextService","83993","/System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService",,
"ContextService","83998","/System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService","6/3/2026 4:59:34 PM","0.1027583"
"ContextStoreAgent","29641","/System/Library/PrivateFrameworks/CoreDuetContext.framework/Versions/A/Resources/ContextStoreAgent","6/3/2026 2:48:31 AM","16.8232791"
